data,estado,cidade,casos_totais,casos_novos,obitos_totais,obitos_novos,ano,mes,data_carga
2023-03-18,SE,Aracaju/SE,169414,32,2616,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PA,Bujaru/PA,2081,4,43,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MT,CASO SEM LOCALIZAÇÃO DEFINIDA/MT,0,0,0,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Cacique Doble/RS,1443,0,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Caxias do Sul/RS,168401,255,1701,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Cristais Paulista/SP,1307,0,20,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Fernão/SP,747,0,5,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Fervedouro/MG,1655,0,20,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Ipirá/BA,3329,1,80,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PE,Itapetim/PE,2879,1,39,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Iturama/MG,13560,0,268,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Japonvar/MG,794,0,9,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Jequitibá/MG,934,0,10,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,AL,Junqueiro/AL,1320,1,53,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PI,Matias Olímpio/PI,742,0,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Nipoã/SP,533,0,18,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Novo Horizonte/SC,703,0,2,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Paiva/MG,395,0,4,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Parapuã/SP,1608,0,52,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Pedra Azul/MG,2497,0,49,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SE,Pirambu/SE,975,0,28,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,Puxinanã/PB,1101,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Rancharia/SP,7740,18,121,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RN,Rio do Fogo/RN,1227,0,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Senador Salgado Filho/RS,707,0,4,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,GO,São Miguel do Araguaia/GO,7834,1,88,1,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,São Pedro do Paraná/PR,923,2,4,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,GO,Urutaí/GO,1090,10,7,0,2023,3,2025-10-15 20:57:10.032331
